State,Country,MethAcq,Drug, Potency , Nt Wt ,Seize Year,Seize Month, Post Price 
NV,,P,COCAINE HYDROCHLORIDE, 74 , 27 ,2007,1, 650 
CA,,P,COCAINE HYDROCHLORIDE, 79 , 28 ,2007,1, 650 
FL,,P,COCAINE HYDROCHLORIDE, 35 , 3 ,2007,1, 650 
MD,,P,COCAINE, 43 , 13 ,2007,1, 650 
MA,,P,COCAINE, 76 , 8 ,2007,1, 650 
MA,,P,COCAINE, 84 , 1 ,2007,1, 650 
WA,,P,COCAINE HYDROCHLORIDE, 84 , 24 ,2007,1, 630 
LA,,P,COCAINE, 81 , 14 ,2007,1, 630 
CT,,P,COCAINE, 64 , 14 ,2007,1, 630 
NJ,,P,COCAINE, 43 , 26 ,2007,1, 620 
NV,,P,COCAINE, 70 , 23 ,2007,1, 600 
WA,,P,COCAINE, 68 , 21 ,2007,1, 600 
CA,,P,COCAINE HYDROCHLORIDE, 84 , 28 ,2007,1, 600 
VA,,P,COCAINE, 52 , 8 ,2007,1, 600 
WA,,P,COCAINE, 68 , 21 ,2007,1, 600 
NV,,P,COCAINE, 66 , 19 ,2007,1, 600 
NY,,P,COCAINE, 49 , 11 ,2007,1, 600 
CA,,P,COCAINE, 63 , 29 ,2007,1, 600 
NV,,P,COCAINE, 79 , 24 ,2007,1, 600 
NV,,P,COCAINE, 72 , 27 ,2007,1, 600 
LA,,P,COCAINE HYDROCHLORIDE, 55 , 20 ,2007,1, 600 
IN,,P,COCAINE, 46 , 12 ,2007,1, 600 
NJ,,P,COCAINE, 53 , 9 ,2007,1, 600 
NV,,P,COCAINE, 80 , 23 ,2007,1, 600 
NJ,,P,COCAINE, 66 , 8 ,2007,1, 600 
WA,,P,COCAINE, 78 , 21 ,2007,1, 580 
CA,,P,COCAINE, 79 , 23 ,2007,1, 580 
MN,,P,COCAINE, 84 , 7 ,2007,1, 550 
IN,,P,COCAINE, 56 , 13 ,2007,1, 550 
IL,,P,COCAINE, 81 , 10 ,2007,1, 550 
IL,,P,COCAINE, 74 , 10 ,2007,1, 550 
CA,,P,COCAINE, 68 , 21 ,2007,1, 550 
FL,,P,"COCAINE, SALT UNDETERMINED", 36 , 28 ,2007,1, 550 
CT,,P,COCAINE, 84 , 12 ,2007,1, 540 
CA,,P,COCAINE, 85 , 24 ,2007,1, 530 
